key	AS9601	BL107	CB0101	CC9311	CC9605	CC9616	CC9902	CCMP1375	GEYO	GP2	KORDI100	KORDI49	KORDI52	MED4	MIT9107	MIT9201	MIT9202	MIT9211	MIT9215	MIT9301	MIT9302	MIT9303	MIT9311	MIT9313	MIT9314	MIT9321	MIT9508	MIT9515	MITS9509	N19	N26	N32	N5	NATL1A	NATL2A	PAC1	PCC6307	PCC7001	RCC307	RS9916	RS9917	SB	UW105	UW106	UW140	UW179A	UW179B	UW69	UW86	WH7803	WH7805	WH8016	WH8020	WH8102	WH8109	cyano3B
AS9601	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.911968	0.0	0.0	0.0	0.7999379999999999	0.883668	0.905863	0.915907	0.0	0.913931	0.9349970000000001	0.899413	0.0	0.899614	0.0	0.937935	0.915609	0.0	0.7938590000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.938994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BL107	0.0	1.0	0.0	0.0	0.783526	0.0	0.9016759999999999	0.0	0.0	0.0	0.776998	0.784191	0.7819159999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.783764	0.7843899999999999	0.784359	0.781528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.780385	0.0	0.0	0.0	0.78336	0.786498	0.0	0.0	0.0	0.0	0.7811929999999999	0.783454	0.785106
CB0101	0.0	0.0	1.0	0.0	0.7886759999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.789044	0.7894549999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.789937	0.793557	0.7915829999999999	0.791507	0.0	0.0	0.0	0.799994	0.8072	0.7916	0.7919029999999999	0.793259	0.0	0.0	0.784428	0.0	0.0	0.0	0.7841549999999999	0.7941630000000001	0.78594	0.0	0.0	0.0	0.7895310000000001	0.789679	0.792804
CC9311	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8660559999999999	0.0	0.0	0.0	0.0	0.867405	0.9129600000000001	0.0	0.0	0.0
CC9605	0.0	0.785423	0.789168	0.0	1.0	0.792175	0.785428	0.0	0.778068	0.0	0.792099	0.802513	0.882317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.781293	0.914812	0.917585	0.919307	0.917625	0.0	0.0	0.0	0.7843019999999999	0.783535	0.785698	0.796277	0.791434	0.0	0.7865829999999999	0.8530159999999999	0.7850879999999999	0.7778499999999999	0.0	0.855917	0.918478	0.7918689999999999	0.787993	0.0	0.0	0.807465	0.91205	0.919283
CC9616	0.0	0.0	0.0	0.0	0.792704	1.0	0.0	0.0	0.0	0.0	0.8541030000000001	0.795261	0.7924450000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.792118	0.7917740000000001	0.793275	0.7933969999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.780985	0.7851649999999999	0.0	0.0	0.78972	0.0	0.0	0.0	0.790546	0.7947280000000001	0.784518	0.0	0.0	0.0	0.795377	0.7939830000000001	0.7934990000000001
CC9902	0.0	0.902703	0.0	0.0	0.784494	0.7782129999999999	1.0	0.0	0.0	0.0	0.0	0.7820940000000001	0.783466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.782792	0.7854040000000001	0.784336	0.781021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7805580000000001	0.0	0.0	0.0	0.783459	0.785742	0.0	0.0	0.0	0.0	0.7814699999999999	0.7863060000000001	0.7824089999999999
CCMP1375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7746179999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GEYO	0.0	0.0	0.0	0.0	0.7799280000000001	0.0	0.0	0.0	1.0	0.0	0.0	0.782949	0.7793420000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.955131	0.0	0.8710600000000001	0.779741	0.781121	0.7817810000000001	0.780702	0.0	0.0	0.0	0.0	0.0	0.0	0.78411	0.780551	0.0	0.780463	0.0	0.781901	0.86874	0.0	0.777497	0.781699	0.786636	0.782543	0.0	0.0	0.7776090000000001	0.782195	0.780303
GP2	0.912073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.796734	0.881184	0.898179	0.898394	0.0	0.896297	0.910949	0.8938320000000001	0.0	0.895334	0.0	0.911132	0.90225	0.0	0.7947310000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.910107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
